Operation ,OpCode,Type,Funct3 ,Funct7 ,,,,
,,,,,,,,
beq,B-TYPE,1100011,,,,,,
bge,B-TYPE,1100011,,,,,,
bgeu,B-TYPE,1100011,,,,,,
blt,B-TYPE,1100011,,,,,,
bltu,B-TYPE,1100011,,,,,,
bne,B-TYPE,1100011,,,,,,
csrrc,C-TYPE,1110011,,,,,,
csrrci,C-TYPE,1110011,,,,,,
csrrs,C-TYPE,1110011,,,,,,
csrrsi,C-TYPE,1110011,,,,,,
csrrw,C-TYPE,1110011,,,,,,
csrrwi,C-TYPE,1110011,,,,,,
ebreak,C-TYPE,1110011,000,0000001,,,,
ecall,C-TYPE,1110011,000,0000000,,,,
fence,F-TYPE,0001111,,,,,,
fence.i,F-TYPE,0001111,,,,,,
addi,I-TYPE,0010011,,,,,,
addiw,I-TYPE,0011011,,,,,,
andi,I-TYPE,0010011,,,,,,
fld,I-TYPE,0000111,011,,,,,
flw,I-TYPE,0000111,010,,,,,
jalr,I-TYPE,1100111,000,,,,,
lb,I-TYPE,0000011,000,,,,,
lbu,I-TYPE,0000011,100,,,,,
ld,I-TYPE,0000011,011,,,,,
lh,I-TYPE,0000011,001,,,,,
lhu,I-TYPE,0000011,101,,,,,
lw,I-TYPE,0000011,010,,,,,
lwu,I-TYPE,0000011,110,,,,,
ori,I-TYPE,0010011,110,,,,,
slli,I-TYPE,0010011,001,,,,,
slliw,I-TYPE,0010011,001,,,,,
slti,I-TYPE,0010011,010,,,,,
sltiu,I-TYPE,0010011,011,,,,,
srai,I-TYPE,0010011,101,0100000,,,,
sraiw,I-TYPE,0011011,101,,,,,
srli,I-TYPE,0010011,101,,,,,
srliw,I-TYPE,0011011,101,,,,,
xori,I-TYPE,0010011,100,,,,,
jal,J-TYPE,1101111,,,,,,
fmv,P-TYPE,1010011,,,,,,
add,R-TYPE,0110011,000,0000000,,,,
addw,R-TYPE,0111011,000,0000000,,,,
and,R-TYPE,0110011,111,0000000,,,,
div,R-TYPE,0110011,100,0000001,,,,
divu,R-TYPE,0110011,101,0000001,,,,
divuw,R-TYPE,0111011,101,0000001,,,,
divw,R-TYPE,0111011,100,0000001,,,,
mul,R-TYPE,0110011,000,0000001,,,,
mulh,R-TYPE,0110011,001,0000001,,,,
mulhsu,R-TYPE,1100111,010,0000001,,,,
mulhu,R-TYPE,1100111,011,0000001,,,,
mulw,R-TYPE,0111011,000,0000001,,,,
or,R-TYPE,0110011,111,0000000,,,,
rem,R-TYPE,0110011,110,0000001,,,,
remu,R-TYPE,0110011,111,0000001,,,,
remuw,R-TYPE,0111011,111,0000001,,,,
remw,R-TYPE,0111011,110,0000001,,,,
sll,R-TYPE,0110011,001,0000000,,,,
sllw,R-TYPE,0111011,001,0000000,,,,
slt,R-TYPE,0110011,010,0000000,,,,
sltu,R-TYPE,0110011,011,0000000,,,,
sra,R-TYPE,0110011,101,0100000,,,,
sraw,R-TYPE,0110011,101,0100000,,,,
srl,R-TYPE,0110011,101,0000000,,,,
srlw,R-TYPE,0111011,001,0100000,,,,
sub,R-TYPE,0110011,000,0110000,,,,
subw,R-TYPE,0111011,000,0100000,,,,
xor,R-TYPE,0110011,100,0000000,,,,
fsd,S-TYPE,0100111,011,,,,,
fsw,S-TYPE,0100111,010,,,,,
sb,S-TYPE,0100011,000,,,,,
sd,S-TYPE,0100011,011,,,,,
sh,S-TYPE,0100011,001,,,,,
sw,S-TYPE,0100011,010,,,,,
auipc,U-TYPE,0010111,,,,,,
lui,U-TYPE,0110111,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,0000011,I-TYPE
,,,,,,,0000111,I-TYPE
,,,,,,,0001111,F-TYPE
,,,,,,,0010011,I-TYPE
,,,,,,,0011011,I-TYPE
,,,,,,,0100111,S-TYPE
,,,,,,,0110011,R-TYPE
,,,,,,,0110111,U-TYPE
,,,,,,,0111011,R-TYPE
,,,,,,,1100011,B-TYPE
,,,,,,,1100111,I-TYPE
,,,,,,,1101111,J-TYPE
,,,,,,,1110011,C-TYPE
,,,,,,,1010011,P-TYPE
,,,,,,,0100011,S-TYPE
